"","lga","month","household","individual","male","female","infant","child","youth","adult","elderly"
"1","AGATU","2016-03",708,4018,1800,2218,260,510,1099,1768,381
"2","AKKO","2016-11",1301,6992,3571,3421,477,1170,2341,2715,289
"3","AKKO","2016-12",1317,7067,3593,3474,477,1183,2374,2748,285
"4","AKKO","2017-02",1193,6392,3231,3161,394,1180,1928,2625,265
"5","AKKO","2017-04",1265,6509,3001,3508,297,1117,2087,2846,162
"6","AKKO","2017-05",1269,6517,3199,3318,336,1060,1936,2939,246
"7","AKKO","2017-06",1276,6563,3048,3515,305,1128,2098,2866,166
"8","AKKO","2017-09",1298,6779,3204,3575,321,1184,2153,2942,179
"9","AKKO","2017-11",1275,6587,3060,3527,325,1097,2014,2969,182
"10","ALKALERI","2016-11",34,204,105,99,6,45,65,87,1
"11","ALKALERI","2016-12",34,204,105,99,6,45,65,87,1
"12","ALKALERI","2017-02",30,185,94,91,9,35,59,81,1
"13","ALKALERI","2017-04",24,150,70,80,9,30,44,64,3
"14","ALKALERI","2017-05",39,283,132,151,14,60,85,116,8
"15","ALKALERI","2017-06",39,282,133,149,14,60,85,115,8
"16","ALKALERI","2017-09",39,282,133,149,14,60,84,116,8
"17","ALKALERI","2017-11",42,281,134,147,21,56,81,114,9
"18","ARDO-KOLA","2019-05",17,85,39,46,4,10,26,40,5
"19","ARDO - KOLA","2016-08",27,191,84,107,5,64,66,51,5
"20","ARDO - KOLA","2016-10",13,51,25,26,1,13,12,24,1
"21","ARDO - KOLA","2016-11",922,4764,2156,2608,271,935,1316,2045,197
"22","ARDO - KOLA","2016-12",831,4110,1837,2273,298,559,1125,1891,237
"23","ARDO - KOLA","2017-02",1049,5327,2396,2931,273,682,1400,2685,287
"24","ARDO - KOLA","2017-04",1129,5775,2484,3291,323,815,1723,2659,255
"25","ARDO - KOLA","2017-05",1129,5775,2484,3291,323,815,1723,2659,255
"26","ARDO - KOLA","2017-06",1164,5964,2553,3411,331,822,1792,2747,272
"27","ARDO - KOLA","2017-09",1164,5964,2521,3443,336,767,1809,2761,291
"28","ARDO - KOLA","2017-11",1136,5794,2533,3261,441,778,1479,2792,304
"29","ARDO - KOLA","2018-01",17,85,39,46,6,13,22,41,3
"30","ARDO - KOLA","2018-04",17,85,39,46,6,13,22,41,3
"31","ARDO - KOLA","2018-06",17,85,39,46,6,13,22,41,3
"32","ARDO - KOLA","2018-07",17,85,39,46,4,10,26,40,5
"33","ARDO - KOLA","2018-10",17,85,39,46,4,10,26,40,5
"34","ARDO - KOLA","2018-11",17,85,39,46,4,10,26,40,5
"35","ARDO - KOLA","2019-07",17,85,39,46,4,10,26,40,5
"36","ARDO - KOLA","2019-08",17,82,39,43,4,10,23,40,5
"37","ARDO - KOLA","2019-11",17,82,39,43,4,10,23,40,5
"38","ARDO - KOLA","2020-01",17,82,39,43,4,10,23,40,5
"39","ASKIRA / UBA","2015-09",335,2284,841,1443,66,409,788,711,310
"40","ASKIRA / UBA","2015-11",338,2316,856,1460,86,411,793,714,312
"41","ASKIRA / UBA","2016-01",805,2621,1148,1473,151,539,790,924,217
"42","ASKIRA / UBA","2016-03",805,2621,1148,1473,78,612,790,570,571
"43","ASKIRA / UBA","2016-08",196,1081,498,583,40,140,428,460,13
"44","ASKIRA / UBA","2016-10",195,1077,544,533,40,146,431,453,7
"45","ASKIRA / UBA","2016-11",1146,7470,3459,4011,139,1329,2737,3056,209
"46","ASKIRA / UBA","2016-12",1135,6810,3121,3689,181,1107,2414,2930,178
"47","ASKIRA / UBA","2017-02",1835,11010,5295,5715,284,3442,3442,3684,158
"48","ASKIRA / UBA","2017-04",1839,11040,4870,6170,427,2457,5370,2571,215
"49","ASKIRA / UBA","2017-05",1886,11316,5447,5869,244,2986,3975,3887,224
"50","ASKIRA / UBA","2017-06",1798,10788,5142,5646,317,2099,4347,3755,270
"51","ASKIRA / UBA","2017-09",1901,11406,5421,5985,400,2835,3768,4150,253
"52","ASKIRA / UBA","2017-11",1865,11190,5335,5855,347,1871,4644,3924,404
"53","ASKIRA / UBA","2018-01",770,4620,2248,2372,124,433,2338,1638,87
"54","ASKIRA / UBA","2018-04",618,3708,1813,1895,78,648,1679,1271,32
"55","ASKIRA / UBA","2018-06",621,3726,1763,1963,70,543,1787,1290,36
"56","ASKIRA / UBA","2018-07",622,3732,1839,1893,38,434,1994,1252,14
"57","ASKIRA / UBA","2018-10",629,3774,1865,1909,26,974,1492,1268,14
"58","ASKIRA / UBA","2018-11",630,3780,1860,1920,75,664,1760,1254,27
"59","ASKIRA / UBA","2019-07",525,3155,1355,1800,58,297,1535,1242,23
"60","ASKIRA / UBA","2019-08",516,3096,1305,1791,58,297,1488,1230,23
"61","ASKIRA / UBA","2019-11",523,3138,1306,1832,58,303,1502,1247,28
"62","ASKIRA / UBA","2020-01",523,3138,1322,1816,58,302,1498,1257,23
"63","ASKIRA/UBA","2019-05",638,3828,1818,2010,75,355,2117,1254,27
"64","BADE","2016-11",2236,17183,8024,9159,1747,2955,4053,5785,2643
"65","BADE","2016-12",2229,17175,7655,9520,1316,2986,4697,6176,2000
"66","BADE","2017-02",1566,11745,4800,6945,1209,2348,3321,4391,476
"67","BADE","2017-04",1547,11603,4641,6962,1286,2545,3304,4097,371
"68","BADE","2017-05",1541,11557,4620,6937,1279,2521,3299,4090,368
"69","BADE","2017-06",1534,11504,4587,6917,1322,2585,3220,4018,359
"70","BADE","2017-09",1529,11465,4532,6933,1341,2617,3243,3904,360
"71","BADE","2017-11",1584,11779,4654,7125,1356,2658,3305,4064,396
"72","BALANGA","2016-11",340,1850,876,974,129,301,656,725,39
"73","BALANGA","2016-12",340,1850,864,986,125,382,654,662,27
"74","BALANGA","2017-02",320,1850,884,966,121,386,654,662,27
"75","BALANGA","2017-04",357,2158,1035,1123,90,313,742,960,53
"76","BALANGA","2017-05",319,1996,988,1008,85,303,730,826,52
"77","BALANGA","2017-06",322,1848,920,928,85,323,587,801,52
"78","BALANGA","2017-09",349,1936,899,1037,77,310,592,886,71
"79","BALANGA","2017-11",330,1863,838,1025,103,324,602,755,79
"80","BALI","2015-03",24,173,69,104,16,36,43,55,23
"81","BALI","2015-06",331,990,482,508,69,199,337,302,83
"82","BALI","2015-07",246,747,326,421,60,169,150,294,74
"83","BALI","2015-09",255,901,413,488,60,209,190,314,128
"84","BALI","2015-11",290,1055,461,594,38,56,198,639,124
"85","BALI","2016-01",60,276,130,146,17,63,45,121,30
"86","BALI","2016-03",18,73,38,35,3,19,13,27,11
"87","BALI","2016-08",9,47,23,24,2,13,10,16,6
"88","BALI","2016-10",9,47,23,24,2,13,10,16,6
"89","BALI","2016-11",448,2200,1075,1125,78,673,599,813,37
"90","BALI","2016-12",444,2185,1070,1115,77,671,597,803,37
"91","BALI","2017-02",514,2462,1159,1303,95,668,672,965,62
"92","BALI","2017-04",550,2569,1190,1379,104,626,735,1031,73
"93","BALI","2017-05",904,4619,1979,2640,216,964,1160,2175,104
"94","BALI","2017-06",855,4380,1883,2497,206,943,1106,2025,100
"95","BALI","2017-09",855,4380,1883,2497,206,943,1106,2025,100
"96","BALI","2017-11",732,3629,1623,2006,167,793,957,1609,103
"97","BALI","2018-01",127,832,313,519,33,154,204,429,12
"98","BAMA","2016-08",2218,9397,4198,5199,43,2132,3282,3104,836
"99","BAMA","2016-10",6896,39326,18522,20804,500,7946,23035,6659,1186
"100","BAMA","2016-11",5571,29550,14729,14821,1992,5963,14484,6439,672
"101","BAMA","2016-12",5231,31992,13551,18441,879,5424,7910,15633,2146
"102","BAMA","2017-02",7115,38724,17328,21396,1390,9504,17216,8014,2600
"103","BAMA","2017-04",8722,44365,19143,25222,1701,9412,16931,13800,2521
"104","BAMA","2017-05",10406,55899,23937,31962,5058,9646,16512,19027,5656
"105","BAMA","2017-06",11753,56749,23586,33163,2714,8508,16333,25244,3950
"106","BAMA","2017-09",13387,57691,24463,33228,4928,7256,16765,23416,5326
"107","BAMA","2017-11",13639,47732,20685,27047,2220,9998,14880,18436,2198
"108","BAMA","2018-01",14064,49139,21822,27317,4263,6315,19467,16534,2560
"109","BAMA","2018-04",13510,48314,19903,28411,3159,8094,15318,18385,3358
"110","BAMA","2018-06",15266,52911,23719,29192,5043,8028,18031,18980,2829
"111","BAMA","2018-07",17227,61473,27682,33791,5813,9692,21195,21691,3082
"112","BAMA","2018-10",18832,66247,29574,36673,4928,9931,22762,25801,2825
"113","BAMA","2018-11",19452,68813,30677,38136,5210,12050,22560,26101,2892
"114","BAMA","2019-05",20683,72779,32807,39972,5801,12295,23996,27579,3108
"115","BAMA","2019-07",19998,72484,29942,42542,6065,12993,24659,24789,3978
"116","BAMA","2019-08",20494,73570,31743,41827,7552,10703,25121,26412,3782
"117","BAMA","2019-11",22548,77935,34720,43215,5862,10221,28370,30335,3147
"118","BAMA","2020-01",19841,77034,33104,43930,6135,11726,28244,26916,4013
"119","BAUCHI","2016-11",1366,11242,5255,5987,1485,2624,3078,3249,806
"120","BAUCHI","2016-12",1366,11242,5160,6082,1525,2260,3058,3604,795
"121","BAUCHI","2017-02",1355,11160,5189,5971,1006,1988,3289,4027,850
"122","BAUCHI","2017-04",1355,11160,5111,6049,1511,2378,3043,3418,810
"123","BAUCHI","2017-05",1353,11153,5146,6007,1515,2735,2986,3095,822
"124","BAUCHI","2017-06",1326,10920,5095,5825,1298,2641,2941,3242,798
"125","BAUCHI","2017-09",1088,8420,3909,4511,1102,2124,2225,2440,529
"126","BAUCHI","2017-11",1088,8420,3869,4551,1032,2124,2225,2510,529
"127","BAUCHI","2018-04",7,42,21,21,2,15,10,13,2
"128","BAUCHI","2018-06",7,42,17,25,4,10,16,12,0
"129","BAUCHI","2018-07",267,2260,1195,1065,33,431,272,1481,43
"130","BAUCHI","2018-10",227,1363,631,732,58,138,515,623,29
"131","BAUCHI","2018-11",227,1363,631,732,68,138,515,623,19
"132","BAUCHI","2019-05",225,1350,628,722,68,136,511,616,19
"133","BAUCHI","2019-07",225,1350,628,722,68,136,511,616,19
"134","BAUCHI","2019-08",225,1350,628,722,68,136,511,616,19
"135","BAUCHI","2019-11",220,1324,617,707,69,133,500,603,19
"136","BAUCHI","2020-01",220,1327,618,709,72,133,500,603,19
"137","BAYO","2016-11",153,1200,562,638,107,204,336,492,61
"138","BAYO","2016-12",150,1182,556,626,105,201,332,486,58
"139","BAYO","2017-02",143,1140,534,606,100,197,318,472,53
"140","BAYO","2017-04",191,1430,665,765,116,275,406,563,70
"141","BAYO","2017-05",194,1443,665,778,116,274,406,578,69
"142","BAYO","2017-06",191,1421,668,753,119,295,397,553,57
"143","BAYO","2017-09",204,1483,697,786,126,308,410,582,57
"144","BAYO","2017-11",199,1428,673,755,121,297,398,558,54
"145","BILLIRI","2016-11",54,421,178,243,5,46,147,220,3
"146","BILLIRI","2016-12",54,421,178,243,5,34,166,213,3
"147","BILLIRI","2017-02",51,410,171,239,6,42,152,207,3
"148","BILLIRI","2017-04",61,612,281,331,5,111,224,269,3
"149","BILLIRI","2017-05",80,608,261,347,4,50,248,306,0
"150","BILLIRI","2017-06",100,615,257,358,3,56,252,304,0
"151","BILLIRI","2017-09",51,424,164,260,4,57,156,207,0
"152","BILLIRI","2017-11",53,440,176,264,3,67,148,222,0
"153","BIU","2015-01",171,859,384,475,34,114,323,327,61
"154","BIU","2015-03",109,861,340,521,18,50,282,386,125
"155","BIU","2015-06",300,2517,1121,1396,0,421,446,1650,0
"156","BIU","2015-07",2536,21556,8875,12681,1271,3167,10010,6353,755
"157","BIU","2015-09",455,4112,1839,2273,105,1351,1125,931,600
"158","BIU","2015-11",649,4016,1788,2228,305,1351,1228,731,401
"159","BIU","2016-01",1659,14923,6441,8482,578,3094,4765,6100,386
"160","BIU","2016-03",1671,14984,6357,8627,393,3586,4581,5994,430
"161","BIU","2016-08",531,2632,1199,1433,86,431,1180,841,94
"162","BIU","2016-10",534,2655,1193,1462,85,447,1185,837,101
"163","BIU","2016-11",5624,39639,17896,21743,3529,9882,11478,12105,2645
"164","BIU","2016-12",5871,41962,19046,22916,3741,10430,12094,12664,3033
"165","BIU","2017-02",6246,44170,20066,24104,3990,10912,12900,13247,3121
"166","BIU","2017-04",6181,43703,19858,23845,3912,10797,12810,13131,3053
"167","BIU","2017-05",6029,42699,19490,23209,3922,10595,12342,12817,3023
"168","BIU","2017-06",5862,41643,19176,22467,3697,10238,12034,12853,2821
"169","BIU","2017-09",5849,41572,19150,22422,3681,10224,12021,12838,2808
"170","BIU","2017-11",5918,41091,18982,22109,3689,10102,11853,12643,2804
"171","BIU","2018-01",522,2428,1159,1269,129,592,805,804,98
"172","BIU","2018-04",528,2419,1161,1258,129,590,806,794,100
"173","BIU","2018-06",261,1214,574,640,61,273,437,363,80
"174","BIU","2018-07",261,1214,569,645,61,272,432,374,75
"175","BIU","2018-10",261,1214,569,645,61,272,432,374,75
"176","BIU","2018-11",271,1262,593,669,71,282,442,384,83
"177","BIU","2019-05",263,1224,582,642,69,278,432,364,81
"178","BIU","2019-07",268,1250,593,657,77,175,498,328,172
"179","BIU","2019-08",266,1241,590,651,76,276,438,368,83
"180","BIU","2019-11",262,1209,577,632,76,268,424,358,83
"181","BIU","2020-01",262,1209,577,632,76,268,424,358,83
"182","BOGORO","2016-11",480,2671,1184,1487,141,534,845,975,176
"183","BOGORO","2016-12",477,2586,1137,1449,139,492,800,979,176
"184","BOGORO","2017-02",469,2271,1058,1213,161,337,670,882,221
"185","BOGORO","2017-04",469,2244,1111,1133,134,359,704,923,124
"186","BOGORO","2017-05",469,2244,1111,1133,134,359,704,923,124
"187","BOGORO","2017-06",415,2041,1006,1035,119,333,636,842,111
"188","BOGORO","2017-09",415,2041,1007,1034,119,336,636,833,117
"189","BOGORO","2017-11",416,2048,1014,1034,126,336,631,839,116
"190","BURSARI","2016-11",137,1029,385,644,175,232,279,292,51
"191","BURSARI","2016-12",142,1067,410,657,142,202,268,405,50
"192","BURSARI","2017-02",141,1059,422,637,148,198,260,407,46
"193","BURSARI","2017-04",155,1166,472,694,167,237,295,418,49
"194","BURSARI","2017-05",151,1135,460,675,175,238,288,387,47
"195","BURSARI","2017-06",147,1107,454,653,159,223,285,398,42
"196","BURSARI","2017-09",145,1089,456,633,155,231,283,380,40
"197","BURSARI","2017-11",147,1104,466,638,139,240,282,406,37
"198","BURUKU","2016-03",1446,11444,6628,4816,80,1902,3315,4072,2075
"199","CHIBOK","2016-01",16,82,28,54,18,7,20,32,5
"200","CHIBOK","2016-10",40,200,75,125,21,54,40,70,15
"201","CHIBOK","2016-11",1285,10194,4778,5416,910,1714,3333,3697,540
"202","CHIBOK","2016-12",1315,7995,3992,4003,327,1309,2880,3134,345
"203","CHIBOK","2017-02",2082,12495,6017,6478,810,1831,4503,4861,490
"204","CHIBOK","2017-04",2527,12765,5478,7287,806,2601,3864,4720,774
"205","CHIBOK","2017-05",2866,14348,7068,7280,517,2407,4793,6237,394
"206","CHIBOK","2017-06",3276,16363,7968,8395,599,2766,5442,7142,414
"207","CHIBOK","2017-09",3341,16713,8150,8563,611,2835,5561,7284,422
"208","CHIBOK","2017-11",3306,16434,8013,8421,586,2809,5450,7168,421
"209","CHIBOK","2018-01",91,474,233,241,15,85,155,209,10
"210","CHIBOK","2018-04",91,476,234,242,15,88,156,207,10
"211","CHIBOK","2018-06",91,476,234,242,15,88,156,207,10
"212","CHIBOK","2018-07",92,475,233,242,15,87,155,208,10
"213","CHIBOK","2018-10",91,471,231,240,15,85,155,206,10
"214","CHIBOK","2018-11",88,454,222,232,16,81,151,196,10
"215","CHIBOK","2019-05",77,396,194,202,14,73,126,174,9
"216","CHIBOK","2019-07",75,389,186,203,14,67,132,169,7
"217","CHIBOK","2019-08",73,382,183,199,14,65,131,165,7
"218","CHIBOK","2019-11",67,360,172,188,14,61,121,156,8
"219","CHIBOK","2020-01",66,352,169,183,16,59,117,153,7
"220","DAMATURU","2015-03",667,4672,1621,3051,23,719,2083,1715,132
"221","DAMATURU","2015-07",965,4478,2108,2370,225,739,1886,1366,262
"222","DAMATURU","2015-09",2228,13894,6485,7409,330,1961,4766,4650,2187
"223","DAMATURU","2015-11",3418,8166,3888,4278,1492,1756,1741,1993,1184
"224","DAMATURU","2016-01",4724,12394,5973,6421,1975,2536,3050,2910,1923
"225","DAMATURU","2016-03",3171,6767,3016,3751,294,1009,2504,2617,343
"226","DAMATURU","2016-08",1666,11469,4520,6949,1653,3393,3228,2726,469
"227","DAMATURU","2016-10",2246,11367,5393,5974,1359,2761,4650,2119,478
"228","DAMATURU","2016-11",3479,19884,9019,10865,2647,3338,3899,8768,1232
"229","DAMATURU","2016-12",3229,19441,8852,10589,2008,2652,3716,10202,863
"230","DAMATURU","2017-02",3627,21872,10373,11499,2414,3195,4949,10597,717
"231","DAMATURU","2017-04",3374,19825,8317,11508,2889,3770,5137,7557,472
"232","DAMATURU","2017-05",3378,19750,8583,11167,2714,3781,4833,7969,453
"233","DAMATURU","2017-06",3343,19524,8445,11079,2616,3505,4565,8423,415
"234","DAMATURU","2017-09",3296,19246,8482,10764,2298,3617,4457,8556,318
"235","DAMATURU","2017-11",2965,17313,7493,9820,1902,3079,3652,8379,301
"236","DAMATURU","2018-01",1922,11162,4998,6164,1119,1667,2548,5745,83
"237","DAMATURU","2018-04",2143,12486,5637,6849,962,1404,2062,7754,304
"238","DAMATURU","2018-06",2044,11910,5192,6718,928,1476,1817,7429,260
"239","DAMATURU","2018-07",1620,9714,4082,5632,1009,1422,1690,5382,211
"240","DAMATURU","2018-10",1661,9966,4189,5777,1044,1460,1708,5518,236
"241","DAMATURU","2018-11",1690,10140,4261,5879,890,1523,1872,5686,169
"242","DAMATURU","2019-05",1774,10508,4210,6298,1031,1480,2877,4883,237
"243","DAMATURU","2019-07",1666,9856,3956,5900,972,1418,2657,4584,225
"244","DAMATURU","2019-08",1580,9340,3811,5529,748,1368,2462,4549,213
"245","DAMATURU","2019-11",1538,9092,3815,5277,730,1379,2434,4340,209
"246","DAMATURU","2020-01",879,4955,2057,2898,339,470,1156,2884,106
"247","DAMBAM","2016-11",465,3128,1587,1541,209,812,850,940,317
"248","DAMBAM","2016-12",473,3144,1596,1548,215,812,851,945,321
"249","DAMBAM","2017-02",478,3156,1598,1558,213,802,854,958,329
"250","DAMBAM","2017-04",471,3126,1548,1578,219,776,837,975,319
"251","DAMBAM","2017-05",471,3123,1560,1563,218,781,833,975,316
"252","DAMBAM","2017-06",471,3123,1555,1568,218,781,838,970,316
"253","DAMBAM","2017-09",471,3119,1542,1577,214,763,840,966,336
"254","DAMBAM","2017-11",471,3121,1540,1581,207,763,840,975,336
"255","DAMBOA","2016-08",4043,20226,8806,11420,1030,3292,5970,8391,1543
"256","DAMBOA","2016-10",5510,32404,15941,16463,2693,6594,6027,13806,3284
"257","DAMBOA","2016-11",8966,51084,28824,22260,2298,7571,15026,22642,3547
"258","DAMBOA","2016-12",9980,55887,31110,24777,2638,8226,16403,25022,3598
"259","DAMBOA","2017-02",9949,56243,30850,25393,2713,8292,16520,25127,3591
"260","DAMBOA","2017-04",15555,88788,43329,45459,3550,10089,25247,45561,4341
"261","DAMBOA","2017-05",14731,76709,31540,45169,6246,11459,17483,36867,4654
"262","DAMBOA","2017-06",14733,76734,30541,46193,4838,9753,19345,39083,3715
"263","DAMBOA","2017-09",14790,77251,30724,46527,5075,9652,18988,39581,3955
"264","DAMBOA","2017-11",20399,79809,32030,47779,6018,11387,21734,34822,5848
"265","DAMBOA","2018-01",5544,18906,8141,10765,1490,2469,6581,6395,1971
"266","DAMBOA","2018-04",5644,19260,8192,11068,1553,2549,6622,6651,1885
"267","DAMBOA","2018-06",5887,20115,8639,11476,1686,2755,6815,6939,1920
"268","DAMBOA","2018-07",5914,20292,8851,11441,877,3180,5072,10501,662
"269","DAMBOA","2018-10",5967,20554,8966,11588,964,3238,5105,10575,672
"270","DAMBOA","2018-11",6032,20788,9073,11715,991,3302,5184,10630,681
"271","DAMBOA","2019-05",8085,32369,15052,17317,1537,5454,10298,13810,1270
"272","DAMBOA","2019-07",8313,31566,14812,16754,1568,5424,9846,13630,1098
"273","DAMBOA","2019-08",8117,30714,12782,17932,1532,4497,8405,15130,1150
"274","DAMBOA","2019-11",7507,27879,12532,15347,1557,4732,7354,13404,832
"275","DAMBOA","2020-01",7536,28058,12609,15449,1588,4767,7410,13459,834
"276","DARAZO","2016-11",277,1829,877,952,64,182,462,1069,52
"277","DARAZO","2016-12",257,1709,854,855,63,183,434,986,43
"278","DARAZO","2017-02",276,1831,886,945,82,223,505,970,51
"279","DARAZO","2017-04",266,1700,808,892,59,198,402,990,51
"280","DARAZO","2017-05",265,1738,842,896,65,193,419,1010,51
"281","DARAZO","2017-06",265,1748,833,915,85,231,452,920,60
"282","DARAZO","2017-09",271,1779,853,926,84,235,460,939,61
"283","DARAZO","2017-11",271,1781,854,927,86,235,460,939,61
"284","DASS","2016-11",69,685,327,358,76,136,200,252,21
"285","DASS","2016-12",69,685,326,359,75,151,200,238,21
"286","DASS","2017-02",68,686,318,368,45,189,219,215,18
"287","DASS","2017-04",77,741,347,394,48,209,227,238,19
"288","DASS","2017-05",77,740,348,392,45,204,234,238,19
"289","DASS","2017-06",64,580,274,306,36,173,172,182,17
"290","DASS","2017-09",74,645,298,347,38,177,200,212,18
"291","DASS","2017-11",74,646,305,341,39,188,196,205,18
"292","DEMSA","2016-11",312,1872,862,1010,179,382,516,670,125
"293","DEMSA","2016-12",310,1860,966,894,265,405,534,568,88
"294","DEMSA","2017-02",696,4176,1914,2262,166,1145,1696,1023,146
"295","DEMSA","2017-04",704,4224,2252,1972,206,296,1316,2153,253
"296","DEMSA","2017-05",683,4100,2204,1896,319,791,1407,1268,315
"297","DEMSA","2017-06",668,4008,2064,1944,246,481,1846,1114,321
"298","DEMSA","2017-09",678,4068,1853,2215,372,913,1662,858,263
"299","DEMSA","2017-11",687,4122,1981,2141,214,655,1104,1804,345
"300","DIKWA","2016-10",7302,36509,16677,19832,1272,5221,15293,13843,880
"301","DIKWA","2016-11",13614,70791,32333,38458,3884,10523,24094,26990,5300
"302","DIKWA","2016-12",22732,116697,53012,63685,10373,21751,27656,36813,20104
"303","DIKWA","2017-02",13602,76712,35164,41548,4775,12411,23384,32575,3567
"304","DIKWA","2017-04",17768,97964,44998,52966,6270,16049,31817,40541,3287
"305","DIKWA","2017-05",18084,99829,45936,53893,7336,16104,33522,38798,4069
"306","DIKWA","2017-06",13632,74696,34427,40269,4816,12251,24505,30075,3049
"307","DIKWA","2017-09",12869,67071,30594,36477,4344,12435,21355,26584,2353
"308","DIKWA","2017-11",11320,59602,26777,32825,4731,9532,17874,23822,3643
"309","DIKWA","2018-01",9484,49455,22268,27187,3998,7951,14834,19749,2923
"310","DIKWA","2018-04",9750,50843,22733,28110,2723,8477,16274,21098,2271
"311","DIKWA","2018-06",12266,61271,27352,33919,3038,12295,18567,25222,2149
"312","DIKWA","2018-07",12939,64030,28677,35353,3804,12659,19286,26357,1924
"313","DIKWA","2018-10",13095,61459,27918,33541,4035,12163,18080,25228,1953
"314","DIKWA","2018-11",12904,60502,27622,32880,3443,12623,17796,24902,1738
"315","DIKWA","2019-05",12908,60748,28660,32088,2557,11809,20314,24023,2045
"316","DIKWA","2019-07",12908,60777,27567,33210,3038,12693,19451,23783,1812
"317","DIKWA","2019-08",12859,60733,28985,31748,4246,10861,19975,23356,2295
"318","DIKWA","2019-11",12874,60860,29402,31458,3438,10885,20011,24639,1887
"319","DIKWA","2020-01",12866,60842,28597,32245,3653,10954,20075,23753,2407
"320","DONGA","2015-03",245,1265,505,760,78,335,438,368,46
"321","DONGA","2015-06",330,1494,772,722,135,380,411,464,104
"322","DONGA","2015-07",109,579,250,329,40,110,153,201,75
"323","DONGA","2015-09",94,461,204,257,32,101,137,124,67
"324","DONGA","2015-11",86,385,206,179,44,83,94,143,21
"325","DONGA","2016-01",50,180,100,80,21,41,42,65,11
"326","DONGA","2016-11",547,2407,1042,1365,434,437,534,724,278
"327","DONGA","2016-12",540,2387,1034,1353,434,426,535,722,270
"328","DONGA","2017-02",553,2399,1046,1353,302,360,585,910,242
"329","DONGA","2017-04",534,2359,1025,1334,274,352,593,896,244
"330","DONGA","2017-05",558,2499,1104,1395,267,389,649,946,248
"331","DONGA","2017-06",549,2483,1100,1383,266,388,643,940,246
"332","DONGA","2017-09",543,2471,1096,1375,265,388,639,937,242
"333","DONGA","2017-11",503,2389,1046,1343,258,376,618,909,228
"334","DONGA","2018-06",290,1182,537,645,124,299,355,350,54
"335","DONGA","2018-07",181,730,325,405,53,182,246,210,39
"336","DONGA","2018-10",167,725,322,403,50,180,243,212,40
"337","DONGA","2018-11",121,446,194,252,37,136,134,112,27
"338","DONGA","2019-05",92,327,143,184,42,111,101,65,8
"339","DONGA","2019-07",118,385,174,211,47,119,121,85,13
"340","DUKKU","2016-11",157,881,406,475,31,121,303,405,21
"341","DUKKU","2016-12",87,434,210,224,22,64,110,205,33
"342","DUKKU","2017-02",139,746,387,359,38,135,223,323,27
"343","DUKKU","2017-04",150,887,444,443,24,85,323,423,32
"344","DUKKU","2017-05",135,727,384,343,22,124,185,360,36
"345","DUKKU","2017-06",181,961,510,451,27,137,312,455,30
"346","DUKKU","2017-09",186,986,517,469,35,197,281,442,31
"347","DUKKU","2017-11",192,1019,546,473,45,161,282,492,39
"348","FIKA","2016-11",713,5830,2482,3348,437,1080,1579,2224,510
"349","FIKA","2016-12",881,6018,2437,3581,345,944,1965,2345,419
"350","FIKA","2017-02",766,5036,2161,2875,482,740,1413,1970,431
"351","FIKA","2017-04",755,5145,2424,2721,541,803,1724,1487,590
"352","FIKA","2017-05",718,4953,2250,2703,521,800,1526,1585,521
"353","FIKA","2017-06",708,4809,2179,2630,526,788,1489,1483,523
"354","FIKA","2017-09",684,4370,2012,2358,501,661,1293,1428,487
"355","FIKA","2017-11",655,4281,1918,2363,263,772,1416,1613,217
"356","FUFORE","2015-01",208,962,464,498,0,342,276,324,20
"357","FUFORE","2015-06",241,1563,804,759,32,311,621,590,9
"358","FUFORE","2015-07",618,3619,1800,1819,79,261,1628,1445,206
"359","FUFORE","2015-09",444,2899,1332,1567,206,708,966,847,172
"360","FUFORE","2015-11",475,3678,1725,1953,66,259,1503,1820,30
"361","FUFORE","2016-01",605,4812,2198,2614,191,933,1561,1886,241
"362","FUFORE","2016-03",1067,4464,2117,2347,292,660,1656,1713,143
"363","FUFORE","2016-08",998,4362,2000,2362,249,990,1397,1646,80
"364","FUFORE","2016-10",905,3989,1851,2138,261,907,1289,1454,78
"365","FUFORE","2016-11",1037,5094,2288,2806,290,1105,1632,1999,68
"366","FUFORE","2016-12",1009,5034,2394,2640,378,996,1643,1949,68
"367","FUFORE","2017-02",1112,5431,2725,2706,267,1297,1605,2208,54
"368","FUFORE","2017-04",1245,5454,2898,2556,139,1067,2169,1942,137
"369","FUFORE","2017-05",1225,5359,2795,2564,140,1097,2178,1808,136
"370","FUFORE","2017-06",1225,5361,2806,2555,154,1020,2219,1832,136
"371","FUFORE","2017-09",1214,5332,2821,2511,178,1035,2116,1868,135
"372","FUFORE","2017-11",1215,5277,2697,2580,118,1069,2044,1924,122
"373","FUFORE","2018-01",925,4025,2068,1957,85,784,1633,1406,117
"374","FUFORE","2018-04",929,4168,2138,2030,127,804,1653,1447,137
"375","FUFORE","2018-06",933,4183,2128,2055,130,787,1656,1470,140
"376","FUFORE","2018-07",775,3930,2058,1872,113,526,1664,1487,140
"377","FUFORE","2018-10",775,3936,2062,1874,119,526,1664,1487,140
"378","FUFORE","2018-11",777,3959,2072,1887,131,531,1330,1827,140
"379","FUFORE","2019-05",715,3551,1908,1643,107,434,1127,1751,132
"380","FUFORE","2019-07",723,4253,2123,2130,223,850,1562,1486,132
