"","admin2","year","date","iso","household","individual","male","female","infant","child","youth","adult","elderly","fatalities","event","percent_adult","admin2pop","individual_norm"
"508","Tooz",2017,Nov 2017,"IRQ",15453,92718,NA,NA,NA,NA,NA,NA,NA,34,5,48.6581873876274,190836.783774212,0.485849730677179
"509","Tooz",2018,Jun 2018,"IRQ",11961,71766,NA,NA,NA,NA,NA,NA,NA,3,4,48.9243491181601,190836.783774212,0.376059576045411
"510","Tooz",2017,Dec 2017,"IRQ",14944,89664,NA,NA,NA,NA,NA,NA,NA,3,10,48.6581873876274,190836.783774212,0.469846526579937
"511","Tooz",2019,Jan 2019,"IRQ",4888,29328,NA,NA,NA,NA,NA,NA,NA,0,1,49.2412841735641,190836.783774212,0.153681064100825
"512","Tooz",2019,Sep 2019,"IRQ",4323,25938,NA,NA,NA,NA,NA,NA,NA,0,1,49.2412841735641,190836.783774212,0.135917193148091
"513","Tooz",2018,Oct 2018,"IRQ",10436,62616,NA,NA,NA,NA,NA,NA,NA,7,6,48.9243491181601,190836.783774212,0.328112844712809
"514","Tooz",2018,Apr 2018,"IRQ",12827,76962,NA,NA,NA,NA,NA,NA,NA,0,2,48.9243491181601,190836.783774212,0.403287031346417
"515","Zakho",2017,Nov 2017,"IRQ",38024,228144,NA,NA,NA,NA,NA,NA,NA,0,1,48.6581873876274,266421.027426288,0.856328804839257
"516","Zakho",2018,Feb 2018,"IRQ",39006,234036,NA,NA,NA,NA,NA,NA,NA,22,3,48.9243491181601,266421.027426288,0.878444176350727
"517","Zakho",2018,Jun 2018,"IRQ",37410,224460,NA,NA,NA,NA,NA,NA,NA,5,2,48.9243491181601,266421.027426288,0.842501067458358
"518","Zakho",2020,May 2020,"IRQ",17351,104106,NA,NA,NA,NA,NA,NA,NA,4,14,49.5799342505784,266421.027426288,0.390757445107457
"519","Zakho",2019,May 2019,"IRQ",35334,212004,NA,NA,NA,NA,NA,NA,NA,0,1,49.2412841735641,266421.027426288,0.795748001004373
"520","Zakho",2018,May 2018,"IRQ",37434,224604,NA,NA,NA,NA,NA,NA,NA,0,1,48.9243491181601,266421.027426288,0.843041565336438
"521","Zakho",2019,Jan 2019,"IRQ",18106,108636,NA,NA,NA,NA,NA,NA,NA,2,3,49.2412841735641,266421.027426288,0.40776060752208
"522","Zakho",2020,Mar 2020,"IRQ",17360,104160,NA,NA,NA,NA,NA,NA,NA,6,10,49.5799342505784,266421.027426288,0.390960131811737
"523","Zakho",2018,Sep 2018,"IRQ",37164,222984,NA,NA,NA,NA,NA,NA,NA,0,1,48.9243491181601,266421.027426288,0.83696096420803
"524","Zakho",2019,Jul 2019,"IRQ",17613,105678,NA,NA,NA,NA,NA,NA,NA,0,4,49.2412841735641,266421.027426288,0.396657880276505
"525","Zakho",2020,Jan 2020,"IRQ",17348,104088,NA,NA,NA,NA,NA,NA,NA,6,5,49.5799342505784,266421.027426288,0.390689882872697
"526","Zakho",2017,Oct 2017,"IRQ",36211,217266,NA,NA,NA,NA,NA,NA,NA,0,3,48.6581873876274,266421.027426288,0.81549869429924
"527","Zakho",2018,Nov 2018,"IRQ",18420,110520,NA,NA,NA,NA,NA,NA,NA,12,7,48.9243491181601,266421.027426288,0.41483212142697
"528","Zakho",2018,Apr 2018,"IRQ",37458,224748,NA,NA,NA,NA,NA,NA,NA,0,4,48.9243491181601,266421.027426288,0.843582063214519
"529","Zakho",2019,Sep 2019,"IRQ",17424,104544,NA,NA,NA,NA,NA,NA,NA,16,15,49.2412841735641,266421.027426288,0.392401459486619
"530","Zakho",2018,Mar 2018,"IRQ",39056,234336,NA,NA,NA,NA,NA,NA,NA,3,1,48.9243491181601,266421.027426288,0.879570213596728
