"","date","Admin2","household","individual","household.leave","individual.leave"
"713","2019-12","Ubari",1684,8420,NA,NA
"714","2019-12","Wadi Ashshati",407,2035,NA,NA
"715","2019-12","Zwara",NA,NA,NA,NA
"716","2020-02","Al Jabal Al Akhdar",102,510,NA,NA
"717","2020-02","Al Jabal Al Gharbi",1952,9834,NA,NA
"718","2020-02","Aljfara",4849,24245,NA,NA
"719","2020-02","Aljufra",389,1945,NA,NA
"720","2020-02","Alkufra",1371,6855,NA,NA
"721","2020-02","Almargeb",7174,35565,NA,NA
"722","2020-02","Almarj",34,170,NA,NA
"723","2020-02","Azzawya",3071,17885,NA,NA
"724","2020-02","Benghazi",5433,27365,NA,NA
"725","2020-02","Derna",86,430,NA,NA
"726","2020-02","Ejdabia",2832,14160,NA,NA
"727","2020-02","Ghat",1627,8135,NA,NA
"728","2020-02","Misrata",7146,35717,NA,NA
"729","2020-02","Murzuq",5731,28660,NA,NA
"730","2020-02","Nalut",1006,5030,NA,NA
"731","2020-02","Sebha",5288,26425,NA,NA
"732","2020-02","Sirt",2570,12850,NA,NA
"733","2020-02","Tobruk",166,915,NA,NA
"734","2020-02","Tripoli",18605,97118,NA,NA
"735","2020-02","Ubari",1404,7020,NA,NA
"736","2020-02","Wadi Ashshati",407,2035,NA,NA
"737","2020-02","Zwara",2256,10840,NA,NA
"738","2020-04","Al Jabal Al Akhdar",82,410,NA,NA
"739","2020-04","Al Jabal Al Gharbi",1892,9527,NA,NA
"740","2020-04","Aljfara",6072,30360,NA,NA
"741","2020-04","Aljufra",389,1945,NA,NA
"742","2020-04","Alkufra",1371,6855,NA,NA
"743","2020-04","Almargeb",7964,39605,NA,NA
"744","2020-04","Almarj",35,175,NA,NA
"745","2020-04","Azzawya",4168,23258,NA,NA
"746","2020-04","Benghazi",5433,27365,NA,NA
"747","2020-04","Derna",81,405,NA,NA
"748","2020-04","Ejdabia",2887,14435,NA,NA
"749","2020-04","Ghat",1627,8135,NA,NA
"750","2020-04","Misrata",6919,34595,NA,NA
"751","2020-04","Murzuq",5355,26775,NA,NA
"752","2020-04","Nalut",1347,6735,NA,NA
"753","2020-04","Sebha",5189,25930,NA,NA
"754","2020-04","Sirt",2585,12925,NA,NA
"755","2020-04","Tobruk",166,915,NA,NA
"756","2020-04","Tripoli",20527,108003,NA,NA
"757","2020-04","Ubari",1404,7020,NA,NA
"758","2020-04","Wadi Ashshati",362,1810,NA,NA
"759","2020-04","Zwara",2932,14653,NA,NA
